,BUURT,green_score,livability_score
0,Bavel,30.37531690140845,2.3555696708106386
1,Belcrum,20.684632393587616,2.1975349580385104
2,Biesdonk,26.11058981233244,1.8077075195800143
3,Blauwe Kei,26.27410644910645,2.314279034490623
4,Boeimeer,29.211907852044124,2.3562377956947302
5,Brabantpark,27.150101729399797,2.1871678966894916
6,Buitengebied Bavel,29.375,2.499306165303328
7,Buitengebied Prinsenbeek,40.25833333333333,2.4475540275288314
8,Buitengebied Teteringen,36.87142857142857,2.4213753921946504
9,Buitengebied Ulvenhout,41.04404761904762,2.416801186396126
10,Chassé,15.346779900920028,2.262314768899132
11,City,9.984778121775026,2.1699851445003717
12,Doornbos-Linie,25.510046367851622,1.8731028131037937
13,Effen-Rith,31.084814814814813,2.4620944566784506
14,Emer,,
15,Fellenoord,15.759741784037558,1.96132523184813
16,Gageldonk,27.072729658792653,2.2454037241695333
17,Geeren-noord,26.403862660944203,1.9285792143049763
18,Geeren-zuid,28.495735735735735,1.8210848145595735
19,Ginneken,25.818250825082508,2.4813033953449413
20,Haagpoort,19.075764525993883,1.9926020567504403
21,Hagebeemd,45.59649122807017,2.345738679977693
22,Hazeldonk,,
23,Heilaar,27.975,2.4399512792087616
24,Heksenwiel,28.53441805922017,2.2223914032705347
25,Heusdenhout,31.348278560250392,2.214757231956745
26,Heuvel,20.67775438596491,2.041037462723745
27,Hoogeind,36.18511904761905,2.4143387649036896
28,Kesteren,26.192237903225806,2.029169328519765
29,Kievitsloop,25.563417569193742,2.2406886966895727
30,Kroeten,25.158827539195634,2.209769645315653
31,Krogten,25.16344086021505,2.088407913584647
32,Liesbos,29.57407407407407,2.5816373274177806
33,Mastbos,41.74285714285714,2.2629443300016363
34,Moleneind-oost,19.625,2.4720911361168536
35,Muizenberg,28.21960659898477,2.1415958429535715
36,Nieuw Wolfslaar,25.379099307159354,2.5282010980200718
37,Overakker,29.982644444444446,2.354487483552332
38,Overkroeten,26.968335752298017,2.2070890337866342
39,Princenhage,24.958967921896793,2.2661140016396795
40,Prinsenbeek,26.762420382165605,2.30531617577965
41,Ruitersbos,36.677114427860694,2.4991099772692826
42,Schorsmolen,15.337969094922737,1.842115024070955
43,Sportpark,28.186562635457303,2.4632955438249864
44,Station,17.671733333333332,2.254069509596379
45,Steenakker,25.848039215686274,2.298121427856284
46,Teteringen,29.91171679197995,2.340702551655603
47,Tuinzigt,16.025010725010723,1.8850287739508254
48,Ulvenhout,31.655789363484086,2.3544682159851016
49,Valkenberg,23.855555555555554,2.2076024010680753
50,Vuchtpolder,,
51,Waterdonken,15.706349206349206,2.30535995757975
52,Westerpark,27.177299880525684,2.274140353392422
53,Wisselaar,27.6909696213067,1.8592383554883554
54,Ypelaar,28.51316602316602,2.234451729320927
55,Zandberg,22.54963196635121,2.4957906882608203
