Buurt,Value
Chassé,1920
Fellenoord,5620
Schorsmolen,550
Station,2600
City,2650
Belcrum,5750
Doornbos-Linie,2520
Biesdonk,3270
Geeren-zuid,1480
Wisselaar,850
Krogten,320
Geeren-noord,5450
Waterdonken,520
Brabantpark,120
Sportpark,5390
Zandberg,7960
Heusdenhout,2140
Moleneind-oost,1570
Hoogeind,1680
Blauwe Kei,5590
Ypelaar,1080
Overakker,1680
Ginneken,690
Mastbos,1580
Boeimeer,1480
Ruitersbos,3180
Haagpoort,1820
Heuvel,270
Tuinzigt,1440
Princenhage,3960
Westerpark,3770
Heilaar,860
Hazeldonk,4120
Steenakker,1460
Effen-Rith,4870
Liesbos,490
Gageldonk,450
Kievitsloop,670
Kesteren,1280
Muizenberg,2750
Heksenwiel,740
Overkroeten,980
Kroeten,310
Emer,360
Hagebeemd,5460
Bavel,130
Nieuw Wolfslaar,1430
Buitengebied Bavel,310
Ulvenhout,360
Buitengebied Ulvenhout,1340
Prinsenbeek,300
Buitengebied Prinsenbeek,2110
Teteringen,400
Vuchtpolder,1760
Buitengebied Teteringen,40
Valkenberg,10
